Nombre,Partidos_jugados,Sets_jugados,Acciones_exitosas,Errores_colocador,_error_colocador,Puntos_negativos,Puntos_positivos,Acciones_positivas,Total_acumulado,Efic_Ranking,id_jugador,temporada
Bertassoni Paulo Renan,24,59,216,0,14,56,32,15,333,0.4354,266,2022-2023
de Amo Miguel Ángel,20,65,333,4,36,88,63,34,558,0.3781,265,2022-2023
Gallego Sánchez Miguel,1,4,29,0,5,10,3,1,48,0.375,233,2022-2023
Folguera Xavier,6,22,148,0,25,24,69,22,288,0.3542,245,2022-2023
Pérez Jaime,13,21,55,4,8,11,18,8,104,0.3462,316,2022-2023
Riganti Juan Martín,27,95,512,1,67,123,209,67,979,0.3289,301,2022-2023
Villar Álvarez Pablo,10,30,118,3,18,38,29,16,222,0.2883,208,2022-2023
Lorente Camacho Rubén,22,79,386,16,55,130,51,57,695,0.2863,304,2022-2023
Monfort Minaya Vicente,23,84,452,3,83,148,127,57,870,0.2839,282,2022-2023
Liot Tom,10,39,244,2,51,65,110,36,508,0.2815,243,2022-2023
Bakonji Bernard,23,81,382,13,62,135,83,45,720,0.2806,352,2022-2023
Loeches Buitrago Guillermo,20,64,299,3,46,111,69,32,560,0.2786,220,2022-2023
Lorente López Lucas,27,99,565,29,81,193,108,82,1058,0.2741,319,2022-2023
Pont Perello Guillem,11,23,36,0,9,11,13,5,74,0.2703,249,2022-2023
Sánchez Coll Javier,1,3,15,0,5,3,12,2,37,0.2703,234,2022-2023
Ferreira García Gabriel,22,67,348,1,64,106,94,65,678,0.2611,200,2022-2023
Martín Pérez César,20,71,404,2,69,146,114,65,800,0.2413,260,2022-2023
García Borrás Héctor,20,61,110,0,20,29,47,28,234,0.2265,217,2022-2023
Portero Losilla Andrés Francisco,16,26,63,2,13,20,19,14,131,0.2214,353,2022-2023
Arjones Ferreiros Jaime,20,65,308,4,80,136,96,77,701,0.1355,334,2022-2023
Rodrigues Dos Santos Felipe,21,68,313,3,53,173,103,76,721,0.0888,365,2022-2023
Sanchis Ignasi,11,31,44,0,11,32,10,9,106,0.0283,366,2022-2023
