Dorsal,Nombre,Posicion,Altura,Ano_de_nacimiento,Alcance_en_ataque,Alcance_en_bloqueo,id_jugador,temporada,id_equipo
2,Paradela Corton Miguel,Libero,0.0,2004,0.0,0.0,1-2023-2024,2023-2024,1-2023-2024
3,Bouza Ferreiro Victor,Receptor,0.0,1990,0.0,0.0,2-2023-2024,2023-2024,1-2023-2024
4,Linares Jose Luis,Opuesto,0.0,1998,0.0,0.0,3-2023-2024,2023-2024,1-2023-2024
5,Barrasa Portomene Samuel,Libero,0.0,2007,0.0,0.0,4-2023-2024,2023-2024,1-2023-2024
6,Edward Batalla Dexter,Colocador/a,0.0,2000,0.0,0.0,5-2023-2024,2023-2024,1-2023-2024
9,Schulz Max,Receptor,0.0,2002,0.0,0.0,6-2023-2024,2023-2024,1-2023-2024
10,Biliato Luca,Opuesto,0.0,1993,0.0,0.0,7-2023-2024,2023-2024,1-2023-2024
11,Villar Alvarez Pablo,Colocador/a,0.0,2002,0.0,0.0,8-2023-2024,2023-2024,1-2023-2024
12,Rodriguez Rubio Aurelio,Middle-blocker,0.0,2000,0.0,0.0,9-2023-2024,2023-2024,1-2023-2024
13,Frias Collado Juan Francisco,Middle-blocker,0.0,2000,0.0,0.0,10-2023-2024,2023-2024,1-2023-2024
14,Augustinho De Lara Sopschuk Luis Henrique,Middle-blocker,0.0,2002,0.0,0.0,11-2023-2024,2023-2024,1-2023-2024
17,Ossola Gude Nahuel,Receptor,0.0,2002,0.0,0.0,12-2023-2024,2023-2024,1-2023-2024
1,Rodriguez Herrera Francisco J.,Receptor,188.0,1980,0.0,0.0,13-2023-2024,2023-2024,2-2023-2024
2,Conde Barrios Lucas,Receptor,196.0,2004,0.0,0.0,14-2023-2024,2023-2024,2-2023-2024
3,Oliva Alonso Adrian,Middle-blocker,204.0,1998,0.0,0.0,15-2023-2024,2023-2024,2-2023-2024
7,Dovale Fidalgo Mario,Libero,188.0,0,0.0,0.0,16-2023-2024,2023-2024,2-2023-2024
8,Rodriguez Alvarez Oscar,Receptor,188.0,2002,0.0,0.0,17-2023-2024,2023-2024,2-2023-2024
9,Duque Grijalvo Francisco,Middle-blocker,200.0,1999,0.0,0.0,18-2023-2024,2023-2024,2-2023-2024
10,Alvarez Escudero Eduardo,Opuesto,200.0,1998,0.0,0.0,19-2023-2024,2023-2024,2-2023-2024
11,Cabello Diedhou Ahmed,Middle-blocker,197.0,2000,0.0,0.0,20-2023-2024,2023-2024,2-2023-2024
13,Macarro Tortajada Daniel,Middle-blocker,200.0,1993,0.0,0.0,21-2023-2024,2023-2024,2-2023-2024
14,Machuca Wehbe BRuno,Colocador/a,180.0,2006,0.0,0.0,22-2023-2024,2023-2024,2-2023-2024
15,Roberts Ignacio,Colocador/a,182.0,1997,0.0,0.0,23-2023-2024,2023-2024,2-2023-2024
18,Fernandez Coviello Adrian,0,194.0,1989,0.0,0.0,24-2023-2024,2023-2024,2-2023-2024
19,Nogueira Amorim Victor Lucas,Opuesto,201.0,1997,0.0,0.0,25-2023-2024,2023-2024,2-2023-2024
22,Del Carmen Barbara Gabriel,Receptor,188.0,1994,0.0,0.0,26-2023-2024,2023-2024,2-2023-2024
99,Costa Erick G.,Receptor,206.0,1997,0.0,0.0,27-2023-2024,2023-2024,2-2023-2024
1,Seybering David,Middle-blocker,204.0,1995,0.0,0.0,28-2023-2024,2023-2024,3-2023-2024
2,Garcias Millas Joan Miquel,Libero,180.0,2002,0.0,0.0,29-2023-2024,2023-2024,3-2023-2024
4,Sanchez Coll Javier,Colocador/a,190.0,2001,0.0,0.0,30-2023-2024,2023-2024,3-2023-2024
5,Riera Granada Adrian,Receptor,180.0,2002,0.0,0.0,31-2023-2024,2023-2024,3-2023-2024
6,Bernal Bravo Abel,Middle-blocker,198.0,1981,0.0,0.0,32-2023-2024,2023-2024,3-2023-2024
7,De la Rosa Canellas Antonio,Opuesto,196.0,2002,0.0,0.0,33-2023-2024,2023-2024,3-2023-2024
8,Osado Carrasco Jose,Libero,175.0,1997,0.0,0.0,34-2023-2024,2023-2024,3-2023-2024
9,Rodriguez Dosal Angel,Opuesto,198.0,1995,0.0,0.0,35-2023-2024,2023-2024,3-2023-2024
10,Gimenez Hernandez Jose Maria,Receptor,185.0,1995,0.0,0.0,36-2023-2024,2023-2024,3-2023-2024
11,Cairus Renzo,Receptor,190.0,1990,0.0,0.0,37-2023-2024,2023-2024,3-2023-2024
13,Moreno Manas Antonio,Receptor,198.0,1987,0.0,0.0,38-2023-2024,2023-2024,3-2023-2024
15,Arjones Ferreiros Jaime,Colocador/a,184.0,2003,0.0,0.0,39-2023-2024,2023-2024,3-2023-2024
18,Scarpin Maximiliano,Middle-blocker,197.0,1990,0.0,0.0,40-2023-2024,2023-2024,3-2023-2024
0,Llopart Alejandro,0,0.0,1998,0.0,0.0,41-2023-2024,2023-2024,4-2023-2024
1,Alves Ramos Vitor,Receptor,0.0,2002,0.0,0.0,42-2023-2024,2023-2024,4-2023-2024
2,Chourio Gonzalez Anderson Jose,Opuesto,0.0,1986,0.0,0.0,43-2023-2024,2023-2024,4-2023-2024
4,Liu Coltyn Go Yuen,Receptor,0.0,1999,0.0,0.0,44-2023-2024,2023-2024,4-2023-2024
6,Piris Guiscafre Antoni,Libero,0.0,2001,0.0,0.0,45-2023-2024,2023-2024,4-2023-2024
7,Miranda de Alcantara Victor Hugo,Opuesto,0.0,1998,0.0,0.0,46-2023-2024,2023-2024,4-2023-2024
8,Calvo Leandro Omar,Receptor,0.0,2000,0.0,0.0,47-2023-2024,2023-2024,4-2023-2024
9,Romani Leandro Gustavo,Middle-blocker,0.0,1999,0.0,0.0,48-2023-2024,2023-2024,4-2023-2024
10,Ribas Brockert Alejandro,Middle-blocker,0.0,2004,0.0,0.0,49-2023-2024,2023-2024,4-2023-2024
15,Mesquida Pomar Francesc,Receptor,0.0,1994,0.0,0.0,50-2023-2024,2023-2024,4-2023-2024
21,Martin Perez Cesar,Colocador/a,0.0,1995,0.0,0.0,51-2023-2024,2023-2024,4-2023-2024
77,Gibanel Galmes Sebastia,Libero,0.0,2000,0.0,0.0,52-2023-2024,2023-2024,4-2023-2024
99,Kobzev Vitali,Middle-blocker,0.0,1994,0.0,0.0,53-2023-2024,2023-2024,4-2023-2024
1,Bruno Lopez Nicolas,Receptor,0.0,1989,0.0,0.0,54-2023-2024,2023-2024,5-2023-2024
2,Perez Figueroa Ezequiel,Libero,0.0,2006,0.0,0.0,55-2023-2024,2023-2024,5-2023-2024
3,Saxton Vigrass Graham,Middle-blocker,0.0,1989,0.0,0.0,56-2023-2024,2023-2024,5-2023-2024
5,De Carvalho Furtado Carlos Manuel,Middle-blocker,0.0,1995,0.0,0.0,57-2023-2024,2023-2024,5-2023-2024
6,Bezerra Souza Francisco Wallyson,Opuesto,0.0,1990,0.0,0.0,58-2023-2024,2023-2024,5-2023-2024
7,de Amo Miguel Angel,Colocador/a,0.0,1985,0.0,0.0,59-2023-2024,2023-2024,5-2023-2024
8,Larranaga Ledo Unai,Libero,0.0,2000,0.0,0.0,60-2023-2024,2023-2024,5-2023-2024
10,Almansa Jorge,Receptor,0.0,1991,0.0,0.0,61-2023-2024,2023-2024,5-2023-2024
11,Moreno Mosquera Juan Pablo,Opuesto,0.0,1997,0.0,0.0,62-2023-2024,2023-2024,5-2023-2024
12,Diedhiou Pascal Jean,Middle-blocker,0.0,1993,0.0,0.0,63-2023-2024,2023-2024,5-2023-2024
13,Zonca Paolo,Receptor,0.0,1997,0.0,0.0,64-2023-2024,2023-2024,5-2023-2024
14,Cavanna Maximiliano,Colocador/a,0.0,1988,0.0,0.0,65-2023-2024,2023-2024,5-2023-2024
18,Ramos Martin Emiliano,Middle-blocker,0.0,1991,0.0,0.0,66-2023-2024,2023-2024,5-2023-2024
22,Lopez Carretero Hugo,Receptor,0.0,2004,0.0,0.0,67-2023-2024,2023-2024,5-2023-2024
1,Vanole Nogueira Silva Thiago,Receptor,189.0,1994,346.0,330.0,68-2023-2024,2023-2024,6-2023-2024
2,Melgarejo Brian Efren,Receptor,191.0,1995,346.0,330.0,69-2023-2024,2023-2024,6-2023-2024
3,Ruda Martinez Florentino,Receptor,195.0,2003,334.0,340.0,70-2023-2024,2023-2024,6-2023-2024
5,Masia Porres Arnau,Libero,182.0,2002,0.0,0.0,71-2023-2024,2023-2024,6-2023-2024
6,El Mesaoudi Sufian,Receptor,185.0,2003,331.0,320.0,72-2023-2024,2023-2024,6-2023-2024
7,Portero Losilla Andres Francisco,Colocador/a,184.0,1991,310.0,310.0,73-2023-2024,2023-2024,6-2023-2024
9,Lopez Alacio David,Middle-blocker,198.0,2000,343.0,345.0,74-2023-2024,2023-2024,6-2023-2024
10,Hamed Benali Samir,Libero,168.0,2000,0.0,0.0,75-2023-2024,2023-2024,6-2023-2024
11,Mimoun Chakrani Azddin,Middle-blocker,195.0,2004,380.0,360.0,76-2023-2024,2023-2024,6-2023-2024
16,Monteagudo del Pueblo Joaquin,Middle-blocker,197.0,1996,345.0,335.0,77-2023-2024,2023-2024,6-2023-2024
22,Pereyra Hernan Federico,Opuesto,200.0,1988,345.0,330.0,78-2023-2024,2023-2024,6-2023-2024
24,Giustiniano Mariano Ariel,Receptor,190.0,1986,355.0,345.0,79-2023-2024,2023-2024,6-2023-2024
28,Riganti Juan Martin,Colocador/a,188.0,1988,330.0,320.0,80-2023-2024,2023-2024,6-2023-2024
87,Martina Federico,Opuesto,202.0,1992,348.0,328.0,81-2023-2024,2023-2024,6-2023-2024
1,Valquintans Kulakauskas Joao G.,Receptor,196.0,1985,0.0,0.0,82-2023-2024,2023-2024,6-2023-2024
2,Camacho Nahuel,Middle-blocker,192.0,1996,0.0,0.0,83-2023-2024,2023-2024,6-2023-2024
3,Almeida Ortega Eric Javier,Receptor,186.0,2001,0.0,0.0,84-2023-2024,2023-2024,6-2023-2024
4,Villar Rodriguez Mario,Colocador/a,187.0,2002,0.0,0.0,85-2023-2024,2023-2024,6-2023-2024
5,Dos Santos Cezar Moises,Middle-blocker,204.0,1983,0.0,0.0,86-2023-2024,2023-2024,6-2023-2024
